phonosyll	Error	ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
de		de	d°	de	PRE			25220.86	38928.92	25220.86	38928.92		2	2	1	2	2	CV	CV	16	18	2	2	d°	1	CV	ed	°d	de	ART:def,PRE			1		de	1
la		la	la	la	ART:def	f	s	14946.48	23633.92	14946.48	23633.92		3	7	1	2	2	CV	CV	20	31	2	2	la	1	CV	al	al	la	ART:def,NOM,PRO:per			1	1	la-:def	2
et		et	e	et	CON			12909.08	20879.73	12909.08	20879.73		1	9	1	2	1	VC	V	5	20	2	1	e	1	V	te	e	et	CON			1.05	1	et	1
à		à	a	à	PRE			12190.4	19209.05	12190.4	19209.05		1	9	1	1	1	V	V	25	20	1	1	a	1	V	à	a	à	PRE			1	1	à	1
le		le	l°	le	ART:def	m	s	13652.76	18310.95	13652.76	18310.95		2	2	1	2	2	CV	CV	14	19	2	2	l°	1	CV	el	°l	le	ART:def,PRO:per			1		le-:def	2
il		il	il	il	PRO:per	m	s	13222.93	15832.09	13222.93	15832.09		3	8	1	2	2	VC	VC	3	15	2	2	il	1	VC	li	li	il	ADJ:num,ADV,PRO:per			1.3	1	il-:per	2
les		les	le	les	ART:def		p	8720.38	14662.3	8720.38	14662.3		2	4	1	3	2	CVC	CV	19	29	3	2	le	1	CV	sel	el	les	ART:def,PRO:per			1	1	les-:def	2
un		un	1	un	ART:ind	m	s	12087.62	13550.68	12087.62	13550.68		3	6	1	2	1	VC	V	7	20	2	1	1	1	V	nu	1	un	ADJ:num,ART:ind,PRO:ind			1.25	1.05	un-:ind	2
l		l'	l	l'	ART:def	m	s	8129.41	12746.76	8129.41	12746.76		4	8	1	2	1	C'	C	10	20	2	1	l	1	C	'l	l		NOM,ART:def,LIA,PRO:per			1.45	1	l'-:def	2
d		d'	d	d'	PRE			7224.74	11876.35	7224.74	11876.35		2	5	1	2	1	C'	C	12	20	2	1	d	1	C	'd	d		NOM,PRE			1.35	1	d'	1
je		je	Z°	je	PRO:per		s	25983.2	10862.77	25983.2	10862.77		2	2	1	2	2	CV	CV	9	17	2	2	Z°	1	CV	ej	°Z	je	NOM,PRO:per			1.35		je-:per	2
des		des	de	des	ART:ind		p	6055.71	10624.93	6055.71	10624.93		1	3	1	3	2	CVC	CV	12	28	3	2	de	1	CV	sed	ed	des	ART:ind			1.05	1	des-:ind	2
u-n		une	yn	une	ART:ind	f	s	7907.85	9587.97	7907.85	9587.97		4	7	1	3	2	VCV	VC	4	14	3	2	yn	1	VC	enu	ny	u-ne	ADJ:num,ART:ind,NOM,PRO:ind			1.25	1	une-:ind	2
pa		pas	pa	pas	ADV			18188.15	8795.14	18188.15	8795.14		2	5	1	3	2	CVC	CV	17	30	3	2	pa	1	CV	sap	ap	pas	ADV,NOM			1	1	pas	1
en		en	@	en	PRE			5689.68	8732.57	5689.68	8732.57		3	7	1	2	1	VC	V	9	20	2	1	@	1	V	ne	@	en	ADV,PRE,PRO:per			1.25	1	en	1
dan		dans	d@	dans	PRE			4658.59	8296.08	4658.59	8296.08		1	5	1	4	2	CVCC	CV	12	28	4	2	d@	1	CV	snad	@d	dans	PRE			1.15	1	dans	1
qui		qui	ki	qui	PRO:rel			5516.52	7923.24	5344.98	7897.91		2	3	1	3	2	CVV	CV	8	28	3	2	ki	1	CV	iuq	ik	qui	PRO:int,PRO:rel			1.4	1	qui-:rel	2
ne		ne	n°	ne	ADV			22287.83	13841.89	13357.03	7752.09		1	1	1	2	2	CV	CV	13	18	2	2	n°	1	CV	en	°n	ne	ADV			1		ne	1
el-		elle	El	elle	PRO:per	f	s	4520.53	6991.49	4520.53	6991.49		1	5	1	4	2	VCCV	VC	2	16	4	2	El	1	VC	elle	lE	el-le	PRO:per			1.55	1	elle-:per	2
du		du	dy	du	ART:def	m	s	4394.7	6882.16	4394.7	6882.16		1	12	1	2	2	CV	CV	21	25	2	2	dy	1	CV	ud	yd	du	ART:def			1	1	du-:def	2
se		se	s°	se	PRO:per			2813.77	6587.77	2813.77	6587.77		1	1	1	2	2	CV	CV	12	18	2	2	s°	1	CV	es	°s	se	PRO:per			1		se-:per	2
es		est	e	être	VER			32236.5	15085.47	19417.69	6331.76	ind:pre:3s;	4	9	0	3	1	VCC	V	4	20	3	1	e	1	V	tse	e	est	ADJ,NOM,AUX,VER	100	19	1.45	1	être	1
pour		pour	puR	pour	PRE			7078.55	6198.24	7078.55	6198.24		2	2	1	4	3	CVVC	CVC	10	22	4	3	puR	1	CVC	ruop	Rup	pour	NOM,PRE			1.4	1	pour	1
n		n'	n	ne	ADV			22287.83	13841.89	8860.45	6084.12		4	6	0	2	1	C'	C	9	20	2	1	n	1	C	'n	n		AUX,NOM,PRO:per,ADV			1.5	1	ne	1
s		s'	s	s'	PRO:per			2418.95	5391.62	2418.95	5391.62		3	6	1	2	1	C'	C	8	20	2	1	s	1	C	's	s		NOM,CON,PRO:per			1.55	1	s'-:per	2
au		au	o	au	ART:def	m	s	3737.75	5322.5	3737.75	5322.5		1	16	1	2	1	VV	V	19	20	2	1	o	1	V	ua	o	au	ART:def			1	1	au-:def	2
sur		sur	syR	sur	PRE			2520.11	5320.47	2520.11	5320.47		3	11	1	3	3	CVC	CVC	16	23	3	3	syR	1	CVC	rus	Rys	sur	ADJ,NOM,PRE			1	1	sur	1
plu		plus	ply	plus	ADV			4062.45	5014.53	4062.45	5014.53		4	7	1	4	3	CCVC	CCV	6	12	4	3	ply	1	CCV	sulp	ylp	plus	VER,ADV,NOM			1.5	1	plus	1
on		on	§	on	PRO:per		s	8586.4	4838.38	8586.4	4838.38		2	5	1	2	1	VC	V	12	20	2	1	§	1	V	no	§	on	NOM,PRO:per			1	1	on-:per	2
son		son	s§	son	ADJ:pos			1740.43	4696.15	1740.43	4696.15		2	5	1	3	2	CVC	CV	17	27	3	2	s§	1	CV	nos	§s	son	ADJ:pos,NOM			1	1	son-:pos	2
mai		mais	mE	mais	CON			5179.05	4463.72	5179.05	4463.72		2	8	1	4	2	CVVC	CV	23	29	4	2	mE	1	CV	siam	Em	mais	ADV,CON			1	1	mais	1
me		me	m°	me	PRO:per		s	4929.44	4264.32	4929.44	4264.32		2	2	1	2	2	CV	CV	14	18	2	2	m°	1	CV	em	°m	me	NOM,PRO:per			1		me-:per	2
lui		lui	l8i	lui	PRO:per		s	2308.74	4225.14	2308.74	4225.14		2	4	1	3	3	CVV	CYV	15	9	3	3	l8i	1	CYV	iul	i8l	lui	PRO:per,VER			1.05	1.25	lui-:per	2
a-vec		avec	avEk	avec	PRE			3704.89	4000.41	3704.89	4000.41		1	1	1	4	4	VCVC	VCVC	3	3	4	4	a-vEk	2	V-CVC	ceva	kEva	a-vec	PRE			1.8	1.8	avec	1
nou		nous	nu	nous	PRO:per		p	4772.12	3867.84	4772.12	3867.84		1	4	1	4	2	CVVC	CV	11	28	4	2	nu	1	CV	suon	un	nous	PRO:per			1.15	1	nous-:per	2
