Name;PhonieCode;Page;CV;VariationText
i;i;2;Voyelle;i,ï,î
o;o,O;3;Voyelle;o,ô,ö
e;°,2,9;4;Voyelle;ë
é;e;4;Voyelle;
è;E;4;Voyelle;ê
a;a;6;Voyelle;à,â,ä
u;y;7;Voyelle;u,ù,û,ü
r;R;17;Consonne;
s;s;17;Consonne;
n;n;18;Consonne;
m;m;18;Consonne;
f;f;21;Consonne;
c;k;21;Consonne;
p;p;22;Consonne;
t;t;22;Consonne;
l;l;26;Consonne;
v;v;27;Consonne;
d;d;28;Consonne;
coq;;29;Syllabe;
j;Z;30;Consonne;
ch;S;32;Consonne;
ou;u,w;35;Voyelle;
oi;wa;36;Voyelle;
on;§;37;Voyelle;
in;5;38;Voyelle;
an;@;39;Voyelle;
en;@;39;Voyelle;
g;g;40;Consonne;
